latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
5.11306,-1.65827,330.09,0.51,0.41,2026-01-29,1318,N,VIIRS,n,2.0NRT,297.4,3.16,D
6.67946,8.77241,331.82,0.52,0.5,2026-01-29,1318,N,VIIRS,n,2.0NRT,297.19,4.26,D
6.64099,8.49683,335.2,0.49,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,304.02,3.07,D
6.65885,8.59153,353.13,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,304.53,23.49,D
6.63298,8.40698,331.51,0.49,0.48,2026-01-29,1318,N,VIIRS,l,2.0NRT,305.15,2.07,D
6.53653,7.7231,340.71,0.44,0.46,2026-01-29,1318,N,VIIRS,n,2.0NRT,288.84,10.66,D
6.64368,8.45067,344.78,0.49,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,308.73,6.87,D
6.85624,9.94208,340.16,0.62,0.54,2026-01-29,1318,N,VIIRS,n,2.0NRT,288.71,7.16,D
6.67181,8.55251,330.02,0.5,0.49,2026-01-29,1318,N,VIIRS,l,2.0NRT,303.69,4.18,D
6.35025,6.31057,341.8,0.53,0.42,2026-01-29,1318,N,VIIRS,n,2.0NRT,296.67,4.48,D
6.68603,8.62032,345.81,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,302.45,20.16,D
6.68538,8.61578,356.88,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,307.74,20.16,D
6.68993,8.61517,347.14,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,305.36,10.63,D
6.19643,5.18398,336.94,0.46,0.39,2026-01-29,1318,N,VIIRS,n,2.0NRT,292.6,8.6,D
6.19272,5.1589,334.57,0.46,0.39,2026-01-29,1318,N,VIIRS,n,2.0NRT,294.4,4.72,D
6.33373,6.08996,340,0.52,0.41,2026-01-29,1318,N,VIIRS,n,2.0NRT,294.73,5.93,D
6.83216,9.51841,341.12,0.58,0.52,2026-01-29,1318,N,VIIRS,n,2.0NRT,288.07,4.34,D
6.71131,8.60288,341.93,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,302.97,6.7,D
6.71065,8.59828,331.33,0.5,0.49,2026-01-29,1318,N,VIIRS,l,2.0NRT,301.85,4.9,D
6.44652,6.77758,330.43,0.57,0.43,2026-01-29,1318,N,VIIRS,n,2.0NRT,292.02,2.34,D
6.45673,6.81939,367,0.38,0.43,2026-01-29,1318,N,VIIRS,h,2.0NRT,302.25,6.7,D
7.39473,13.47184,333.37,0.55,0.68,2026-01-29,1318,N,VIIRS,n,2.0NRT,292.18,4.58,D
6.83523,9.43599,342.12,0.58,0.52,2026-01-29,1318,N,VIIRS,n,2.0NRT,286.95,4.87,D
6.72443,8.66188,346.05,0.51,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,302.72,15.07,D
6.45622,6.81591,341.45,0.38,0.43,2026-01-29,1318,N,VIIRS,n,2.0NRT,299.42,3.16,D
6.72899,8.66129,367,0.51,0.49,2026-01-29,1318,N,VIIRS,h,2.0NRT,301.78,15.07,D
6.92695,10.04608,352.69,0.64,0.54,2026-01-29,1318,N,VIIRS,n,2.0NRT,290.34,29.18,D
6.89023,9.78743,341.86,0.61,0.53,2026-01-29,1318,N,VIIRS,n,2.0NRT,288.43,8.89,D
6.72966,8.66594,330.14,0.51,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,299.83,14.26,D
6.71774,8.58326,343.59,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,303.57,6.58,D
6.46125,6.82229,332.79,0.38,0.43,2026-01-29,1318,N,VIIRS,n,2.0NRT,298.3,6.7,D
6.46074,6.81882,344.95,0.38,0.43,2026-01-29,1318,N,VIIRS,n,2.0NRT,299.99,6.7,D
6.46023,6.81535,342.06,0.38,0.43,2026-01-29,1318,N,VIIRS,n,2.0NRT,299.64,3.16,D
6.70525,8.465,332.89,0.49,0.49,2026-01-29,1318,N,VIIRS,l,2.0NRT,306.94,2.68,D
6.46372,6.81132,330.75,0.38,0.43,2026-01-29,1318,N,VIIRS,n,2.0NRT,299.44,2.36,D
6.77649,8.86022,330.57,0.52,0.5,2026-01-29,1318,N,VIIRS,n,2.0NRT,294.82,3.41,D
6.74657,8.65428,330.24,0.51,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,299.49,7.81,D
6.83439,9.43449,335.49,0.58,0.52,2026-01-29,1318,N,VIIRS,n,2.0NRT,285.44,9.23,D
